City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
262,Flin Flon,CA,54.7682,-101.865,71.46,62,86,13.98,overcast clouds
263,Camacari,BR,-12.6975,-38.3242,78.57,85,9,5.03,clear sky
264,Baoqing,CN,46.3317,132.2111,62.08,81,42,2.59,scattered clouds
265,Necochea,AR,-38.5473,-58.7368,46.81,50,49,10.51,scattered clouds
266,Leningradskiy,RU,69.3833,178.4167,41.16,73,93,9.08,overcast clouds
267,Kahului,US,20.8947,-156.47,87.82,54,20,24.16,few clouds
268,Teya,RU,60.3778,92.6267,53.94,96,100,0.69,overcast clouds
269,Tignere,CM,7.3667,12.65,63.77,87,90,0.67,overcast clouds
270,Deputatskiy,RU,69.3,139.9,52.36,52,100,5.53,overcast clouds
271,Port Moresby,PG,-9.4431,147.1797,75.79,88,5,5.35,clear sky
272,Muromtsevo,RU,56.3724,75.2418,54.7,95,59,3.2,broken clouds
273,Ostersund,SE,63.1792,14.6357,46.85,81,40,13.8,scattered clouds
274,Oranjemund,NA,-28.55,16.4333,54.88,85,0,5.59,clear sky
275,Shimoda,JP,34.6667,138.95,69.1,90,100,5.17,overcast clouds
276,Rorvik,NO,64.8621,11.2373,49.89,86,100,11.21,light rain
277,Srednekolymsk,RU,67.45,153.6833,51.58,51,6,3.56,clear sky
278,Khabary,RU,53.6259,79.5345,56.73,91,73,4.92,broken clouds
279,Labuhan,ID,-6.8844,112.2051,77.52,87,98,6.22,light rain
280,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,75,9.22,light intensity drizzle
281,Te Anau,NZ,-45.4167,167.7167,38.8,95,99,0.98,overcast clouds
282,Vardo,NO,70.3705,31.1107,40.98,87,100,2.3,overcast clouds
283,Viedma,AR,-40.8135,-62.9967,47.55,39,26,5.99,scattered clouds
284,Ribeira Grande,PT,38.5167,-28.7,65.68,89,55,22.21,broken clouds
285,Bilibino,RU,68.0546,166.4372,57.16,46,100,3.53,overcast clouds
286,Ishigaki,JP,24.3448,124.1572,83.28,82,100,15.97,overcast clouds
287,Harper,LR,4.375,-7.7169,77.56,73,75,7.36,broken clouds
288,Senneterre,CA,48.3835,-77.2328,58.44,36,5,15.41,clear sky
289,Dwarka,IN,22.2394,68.9678,84.49,81,17,15.77,few clouds
290,Hofn,IS,64.2539,-15.2082,53.33,54,33,12.91,scattered clouds
291,Kenora,CA,49.8167,-94.4337,72.81,48,100,11.18,overcast clouds
292,Escanaba,US,45.7453,-87.0646,72.52,60,0,8.05,clear sky
293,Pinawa,CA,50.1489,-95.8811,73.76,57,60,17.49,broken clouds
294,Torrington,US,41.8007,-73.1212,62.04,70,76,7.0,broken clouds
295,Chuy,UY,-33.6971,-53.4616,46.58,54,0,7.31,clear sky
296,Mount Isa,AU,-20.7333,139.5,60.57,59,5,8.05,clear sky
297,Liwale,TZ,-9.7667,37.9333,63.68,71,35,1.34,scattered clouds
298,Locri,IT,38.2414,16.2623,70.32,69,14,6.2,few clouds
299,Loa Janan,ID,-0.583,117.095,71.92,99,66,1.5,broken clouds
300,Chapais,CA,49.7834,-74.8492,60.53,34,44,16.22,scattered clouds
301,Payo,ID,-3.7508,103.6372,71.35,97,91,1.32,overcast clouds
302,Hare Bay,CA,48.8499,-54.0148,63.75,84,100,17.09,overcast clouds
303,Roald,NO,62.5833,6.1333,55.76,62,75,10.36,broken clouds
304,Middelburg,ZA,-25.7751,29.4648,50.05,39,0,2.24,clear sky
305,East London,ZA,-33.0153,27.9116,63.99,69,100,11.74,overcast clouds
306,Catalina,US,32.5056,-110.9211,95.09,30,46,8.01,scattered clouds
307,Ingraj Bazar,IN,25.0,88.15,83.19,72,90,9.51,light rain
308,Pangnirtung,CA,66.1451,-65.7125,39.4,72,4,1.9,clear sky
309,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.42,49,55,4.99,broken clouds
310,Bengkulu,ID,-3.8004,102.2655,74.75,89,66,2.98,broken clouds
311,Le Port,RE,-20.9373,55.2919,71.26,73,17,5.01,few clouds
312,Cherepanovo,RU,54.2222,83.381,53.4,95,89,5.61,overcast clouds
313,Coahuayana,MX,18.7333,-103.6833,88.2,54,84,7.74,broken clouds
314,Seoul,KR,37.5683,126.9778,70.99,92,100,3.69,overcast clouds
315,Bilma,NE,18.6853,12.9164,92.5,11,0,11.54,clear sky
316,Elizabeth City,US,36.2946,-76.2511,87.82,44,0,17.27,clear sky
317,Araguacu,BR,-12.9306,-49.8264,81.36,30,5,0.72,clear sky
318,Vadso,NO,70.0744,29.7487,41.88,81,100,8.05,overcast clouds
319,Mahajanga,MG,-15.7167,46.3167,74.43,71,70,7.25,broken clouds
320,Porto Velho,BR,-8.7619,-63.9039,87.85,55,20,2.3,few clouds
321,Mandla,IN,22.6,80.3833,74.57,93,100,1.83,light rain
322,Orumiyeh,IR,37.5527,45.0761,70.27,46,0,4.72,clear sky
323,San Quintin,MX,30.4833,-115.95,69.58,60,3,18.7,clear sky
324,Dalby,AU,-27.1833,151.2667,48.49,83,0,9.24,clear sky
325,Ofaqim,IL,31.3141,34.6203,73.71,80,0,7.52,clear sky
326,Vao,NC,-22.6667,167.4833,74.16,83,100,15.46,moderate rain
327,Kenai,US,60.5544,-151.2583,60.03,62,100,11.5,overcast clouds
328,Zhangye,CN,38.9342,100.4517,67.14,44,100,9.93,overcast clouds
329,Luanda,AO,-8.8368,13.2343,69.1,83,100,8.97,overcast clouds
330,Novikovo,RU,51.1537,37.8879,57.63,91,20,4.03,few clouds
331,Dunedin,NZ,-45.8742,170.5036,45.81,83,100,11.99,overcast clouds
332,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,91,40,20.71,scattered clouds
333,Vysokogornyy,RU,50.1167,139.15,53.33,99,100,3.62,light rain
334,Sarangani,PH,5.4033,125.4636,83.08,69,100,1.28,overcast clouds
335,Sitka,US,57.0531,-135.33,57.09,72,100,11.5,overcast clouds
336,Saskylakh,RU,71.9167,114.0833,37.08,94,100,19.24,overcast clouds
337,Iberia,US,29.9502,-91.7507,97.97,44,40,8.05,scattered clouds
